ID,Table code,Theory/framework/methodology,Literal definition,Primary approach,Secondary approach
TCA3_025,Table SM.3.25,Strengthening accountability frameworks,"Broadly understood, accountability entails giving an account of one’s actions or being answerable for one’s actions and behaviours (Bovens, 2007, 2010). Accountability is fundamentally a relational concept: one set of actors is accountable to another for adhering to an agreed standard of behaviour. This also implies a judgement about whether the standard of behaviour is being met and sanctions or penalties for non-adherence. Only when each of these elements are present can a relationship of accountability be said to exist. Thus, both the concept and actual practice of accountability can be

broken down into four elements: 1) a relational element, linking those who are held accountable to those who have the right to hold to account; 2) a normative element, that is, a standard of behavioural defined with sufficient precision; 3) a decision element, that is, a judgment by those holding others to account about whether an expected standard of behaviour has been met; and 4) a behavioural element that allows the account-holder to sanction non-adherence to the standard by those being held accountable. All four elements combined secure meaningful accountability of key actors, both public and private, in order to further desired sustainability transformations (Biermann & Gupta, 2011). Furthermore, transformative change entails that a diverse array of public and private actors need to be accountable to each other for their sustainability performance or non-performance. This need for accountability permeates all levels of sustainability governance, from the local to the global. It includes a need for accountability of public regulation and authorities, as well as novel types of private governance arrangements within and beyond the nation-State.",Structural,
TCA3_026,Table SM.3.26,Biodiversity policy integration,"Biodiversity policy integration (also referred to as ‘biodiversity mainstreaming’) refers to the incorporation of biodiversity considerations into policies, plans and practices of public and private actors in sectors that rely on and/or impact biodiversity, such as agriculture, forestry, fisheries, mining and spatial planning (Huntley, 2014). Biodiversity policy integration aims to avoid or at least mitigate trade-offs between biodiversity and sectoral objectives and to promote synergies (think of approaches such as eco-engineering, nature-based solutions, building with nature and agroecology (Persson et al., 2018).",Structural,
TCA3_027,Table SM.3.27,Transition management,"Transition management is a prescriptive model for governance for sustainable development based on complexity theory and the goal-oriented modulation of dynamics. It is oriented at changing (sectoral) systems of production and consumption, through “guided processes of variation and selection, the outcomes of which act as stepping stones for further change” (Kemp et al., 2007). The underlying premise is that “a better understanding of the dynamics of complex, adaptive systems provides insight into the opportunities, limitations and conditions under which it is possible to influence such systems” (Rotmans & Loorbach, 2009). Examples of system innovation are: an energy system based on renewable energy, low-carbon transport (motorized and non-motorized) and regenerative agriculture based on agroecology. Such changes involve the nurturing of alternatives and pressures on regime-actors. Transition management seeks to make “the future more clearly manifest in current decisions, by adopting longer time frames, explore alternative trajectories (….) in critical societal subsystems”; foster collaborative networks for particular innovations and experiments with novel practices and technologies and allow “a diversity of innovations (’variation’) and competition among different approaches ( ’selection’) to fulfill societal needs”(Meadowcroft, 2009). The model of transition management was used by the Dutch government for promoting low-carbon energy innovation for a number of years (Kemp, 2010), but criticized for being functionalist and technocratic (democracy deficit), making too little use of environmental assessment, paying too little attention to distributional consequences & justice and acknowledging the (conflict-ridden) politics of policy design (Voß et al., 2009).",Structural,"Science & technology, Systems"
TCA3_028,Table SM.3.28,Behavioural economics,"The standard neoclassical economics approach assumes a representative agent that is a selfish, perfectly informed and a rational utility maximize with stable preferences and a long-term perspective. The empirical evidence shows though that human choices are more complex than this (Kahneman, 2003). Behavioural economics involve three groups of deviations from the standard rational choice model: bounded rationality, bounded willpower and bounded self-interest. Bounded rationality implies that human problem-solving is constrained by limited cognitive abilities (Simon, 1955). There are four main implications of this. First, many human decisions are determined by how information is presented to us more than by the consequences of decisions (a so-called ""framing effect""). Second, individuals are more likely to take action to avoid a loss than to pursue a gain, leading to inaction and lost opportunities (so-called ""loss aversion""). Third, the judgment of a particular situation is heavily influenced by what first comes to mind rather than by a careful assessment of information, resulting in poor choices (so-called ""availability bias""). Finally, many choices are not a choice but automatic responses that do not resort to analytical capacity and could hence be damaging to the planet and humans. Bounded willpower refers to humans frequently failing to follow up on their commitments or failing to take commitments altogether. Humans fail to see the consequences of their actions (myopia of intertemporal choices). Another feature of bounded willpower is called cognitive dissonance, i.e., a mismatch between what people want and what they do. Procrastination regarding reducing your impact on the environment is a prime example. The third behavioural deviation is bounded self-interest. Evidence shows that individuals perceive themselves as herd animals, frequently willing to sacrifice themselves to help others, or capable of punishing those that act against the benefit of the group. Evidence shows that individuals have pro-social or others-regarding preferences. This is a potentially positive feature of social comparisons, but it can also be dangerous in those cases were herd behaviour leads to large environmental or social damages.",Structural,"Systems, Inner transformation"
TCA3_029,Table SM.3.29,International political economy,"Political economy approaches to transformative change seek to understand both the actors, interests and institutions which benefit from the status quo that might be resistant to change, as well openings for moving beyond it. Political economy is an umbrella term for a diversity of approaches which have in common the fact that they place questions of power and politics centrally in their analysis, moving beyond the narrower study of socio-technical transitions which describe narrower changes in the provision of key services around mobility, heating and cooling, food or potentially biodiversity conservation (Newell, 2021). Transformative change in political economy accounts looks to address the causes and drivers of the problem rather than how its symptoms are treated through governance reform or technological and market innovation. Applied to biodiversity and ecosystem services, the focus might be on the concentrated power of agrifood corporations and the impacts this has on land use and deforestation (Clapp & Fuchs, 2009), on the key drivers of production and consumption which are driving biodiversity loss and nature’s decline, which might be thought to lie in economic incentive structures, inequitable property rights and the lack of value given to people and environments: what some authors have called ‘cheap nature’ and ‘cheap labour’ (Patel & Moore, 2018). They are also attentive to longer-term historical processes of transformation which they look to for parallels and inspiration about what might be possible going forward (Newell & Simms, 2021; Perez, 2002). Though traditionally focused on economic structures and the relationship between States and markets (Strange, 1998), more recent political economy thinking has been brought to bear on debates in systems thinking about leverage, intervention and tipping points and promoted the idea of ecosystems of transformation to recognize both the plurality of approaches to generating change from individual to system change (Newell, 2021), as well as the interrelated nature of transformation processes led by States, markets,

technology and citizens (Scoones et al., 2015). This is helpful in creating ripple and multiplier effects where, for example, shifts in finance can trigger change in corporate behaviour and allow States to raise their level of ambition around biodiversity and ecosystem protection.",Structural,"Systems, Empowerment"
TCA3_030,Table SM.3.30,Transformative governance,"Transformative governance approaches deal with the governance of transformative change, or how fundamental, system-wide reorganization across technological, economic and social factors for sustainable development can be governed, or facilitated by governance. Transformative governance represents a recently developed approach. However, it builds on extensive scholarship from fields such as environmental governance and sustainability transformations. In the conceptualization of IPBES of (2019a) and Visseren-Hamakers et al. (2021), transformative governance combines the following four approaches to governance: 1) Integrative approaches focus on the relationships between sectors and policies and ensure policy coherence and effectiveness, 2) Inclusive approaches, including rights-based ones, reflect a plurality of values and thus promote equity, 3) Informed governance entails new strategies for knowledge production and coproduction that are inclusive of diverse values and knowledge systems, 4) Adaptive approaches— including learning, monitoring and feedback loops—help coping with inevitable uncertainties and complexities (IPBES, 2019a). The approach attempts to facilitate transformative change by the employment of such transformative governance approaches. It can also be conceptualized as an approach for governing transformative change, or for transforming governance in order to realize transformative change.",Structural,"Knowledge co-creation, Empowerment"
TCA3_031,Table SM.3.31,Environmental State and the green State,"There is a plurality of approaches in environmental politics, including but not limited to liberal institutionalist accounts of environmental cooperation, international environmental regimes; and environmental governance. Theories of environmental State and the green State are one important set of approaches that gained considerable attention in recent years, emphasizing the role of the State in the politics of environmental protection. This came as a response to the approaches that prioritize non-State actors, mechanisms and networks in addressing environmental problems, with the aim to ‘bring the State back in’ as “the more traditional object of political inquiry” (Duit et al., 2016). Environmental State is defined as: “a State that possesses a significant set of institutions and practices dedicated to the management of the environment and societal–environmental interactions” (Duit et al., 2016). This conceptualization is largely based on empirical observation. On the other hand, theory of the green State is different in that it is a normative approach that aims to elaborate the “constitutional structures of a green democratic State that might be more amenable to protecting nature than the liberal democratic State” (Eckersley, 2004). The environmental State is a viewed as a partial transformation (from the welfare State) of the ways in which State exercises its authority (Duit et al., 2016). Recently, the term “glass ceiling of environmental transformation” (Hausknost, 2020) have been introduced referring to the structural limits that the environmental State faces in fostering transformation.",Structural,"Science and technology, Systems"
TCA3_032,Table SM.3.32,Structuration theory,"Structuration theory, first outlined by sociologist Anthony Giddens, explains how social systems are created and reproduced through a synthesis of structure and agency without giving primacy to one of them. Instead, they are mutually constitutive – what Giddens terms the “duality of structure.” The structures are not stable. While they can restrict the possible action alternatives, they provide means and forms by which actors can take action and, consequently, possibly transform the structure itself. According to structuration theory, societies are made up of a collective of individuals whose interactions are structured by persistent patterns of rules and resources. These structures are upheld by institutions, norms, power relations and cultural contexts that shape and constrain individuals’ actions. Conversely, through their actions actors reproduce but also potentially also challenge the structures. Giddens emphasizes the importance of reflexivity for structural change, that is the ability to reflect critically on one's actions in relation to societal structures.",Structural,"Systems, Inner transformation, Empowerment"
TCA3_033,Table SM.3.33,Social practice theory,Social practice theory explains society and culture emerge as a result of structure and individual agency. It addresses the dualism of agency and structure by proposing that ‘practice’ is the primary organizing concept of social life and thus a way how societal transformations can occur despite deep seated structures.,Structural,"Systems, Inner transformation, Empowerment"
TCA3_034,Table SM.3.34,Actor network theory,"Actor-networks are the web of associations that constitute entities and relations between human and nonhuman elements such as bodies, groups, ecologies, that maintain them together with the capacity to act (Blok et al., 2020). The concept of association is crucial for actor-network theory, since it indicates the capacity of actors to link between each other and form networks (Sismondo, 2009). In that way, associations are a type of connection able to maintain together and create new relations between elements as diverse as humans, microbes, regulations, animals, viruses and more (Latour, 2005). This theory is characterized by its sensibility towards relationality, heterogeneity and materiality. Regarding relationality, actor-network theory argues that no entity exists outside a web of relations, so it is a network and its internal relations that shape different entities within it and the network itself (Law, 2008). About heterogeneity, actor network theory states the importance of symmetry with the assumption that in principle human and nonhumans could have the capacity to become actors once they are associated within a network (Latour, 2005). In its material sensibility, actor network theory emphasizes the need to attend to materials, devices, artefacts and other objects that shape the social world and its networks (Blok et al., 2020; Farías & Bender, 2009). This means that actor-networks could not be understood without the materials and components that allow networks to sustain action. Given its anti-essentialism and non-foundational style, actor network theory is a robust theory to understand how transformative change occurs, since this approach is concerned with the material associations through which different kind of actors are brought together to work together and change the ways in which they act (Callon & Law, 1995). For this reason, actor network theory can be a toolkit to follow the often-overseen chains of associations that produce transformative change, which could take us to surprising places such as mountains, laboratories, scientific texts, social movement meetings, satellites and more.",Structural,"Systems, Empowerment"
TCA3_035,Table SM.3.35,Inner transformation,"Inner transformation for sustainability is an emergent field of research, education and practice (Ives et al., 2023). The aim is to support integrative approaches that link inner and outer dimensions of transformation across sectors and levels to, consequently, enhance individual, collective and planetary well-being, regeneration and flourishing (Ives et al., 2023; Wamsler et al., 2021). Inner dimensions are defined as individual and collective mindsets, beliefs, values, worldviews and associated inner capacities/qualities (cognitive, emotional, relational). The concept recognizes that inner and outer dimensions are never separate, but are co-created (Ives et al., 2023; Wamsler et al., 2021). On this basis, inner transformation involves changes in the sphere of human inner dimensions and refers to all kinds of actions at individual, collective and system levels that support integrative changes in views, structures and practices, which address the impacts, drivers and causes of today’s polycrisis, including biodiversity loss and nature’s decline (Ives et al., 2023; Wamsler et al., 2021). The field of inner transformation addresses unsustainable narratives and paradigms of separation (alienation from self, others, nature) that underlie today’s polycrisis. They are an integral element of modern life forms and they are reflected in modern societies’ culture, the institutional and political landscape and associated power structures (Ives et al., 2023; Walsh et al., 2021; Wamsler et al., 2021; Wamsler & Bristow, 2022; S. West et al., 2020). Inner transformation is thus about enabling intra- and inter-generational, human- and non-human relationships and ways of connecting to self, others and the world in ways that support integrative action-taking across sectors and scales (Ives et al., 2023). Related research, practice and education recognize: i) the interdependence of inner and outer phenomena across individual, collective and system levels (and associated views, practices and structures); ii) the potential that is latent within every human to enable transformative change; iii) the need to address inner dimensions across all levels; iv) the possibility to generate inner, transformative capacities/qualities 24 through intentional practices; and v) the need to include diverse perspectives and expand associated knowledge systems (including Indigenous and local) for sustainability (Ives et al., 2023; Wamsler et al., 2021). Related key theories and conceptualizations include the IMAGINE framework, integral theory, the three spheres of transformation, the inner-outer transformation model, clusters of transformative capacities/qualities, the mind-sustainability nexus and the framework for contemplative scientific inquiry, practice and education (Ives et al., 2020, 2023; Wamsler et al., 2021, 2022).","Inner transformation, Empowerment",Structural
TCA3_036,Table SM.3.36,Pathways to nature connectedness,"The pathways to nature connectedness (Lumber et al., 2017) provide a typology of activities that provide a framework for improving the human–nature relationship through targeting nature connectedness, an internationally recognized psychological construct that captures how an individual thinks about nature, their affective relationship with nature and the extent to which they see themselves as part of nature (Mayer & Frantz, 2004). The pathways have a theoretical basis in Kellert’s (1993) nine values of biophilia. Through ascertaining engagement with and perceived importance of each of the nine values, five types of activity associated with nature connectedness were identified. These were contact through the senses, emotional engagement, noticing nature’s beauty, finding meaning in nature and acting with compassion towards nature. The pathways can be used to inform the design of new initiatives to improve human-nature relationships or used as a lens to review existing initiatives. The pathways framework encourages specific types of active engagement, moving away from traditional human-nature relationships of utility, control and knowledge that have dominated the human relationship with the rest of the natural world and thus contributed to a failing relationship with nature and the environmental crises.",Inner transformation,Systems
TCA3_037,Table SM.3.37,Relationality,"Relationality is a broad field of diverse origins, including the thoughts of a Greek philosopher, Heraclitus, who stated that ‘everything flows’, emphasizing the interconnectedness and constant change or perpetual flux of the world. Other key thinkers include Heidegger, Merleau-Ponty and North Whitehead (S. West et al., 2019). More than a specific theory, relationality represents a path-breaking ontological turn across many fields of social sciences and humanities. Conceptualizations vary. For some, relational thinking may be complementary to sustainability sciences (S. West et al., 2019), for others the implications are more far-reaching (Escobar, 2016). Walsh et al. (2021) find common commitments to a ‘paradigm that i) is grounded in a relational ontology, ii) emphasizes the need for understanding human and non-human nature as mutually constitutive and iii) values more-than-human relations.’ A relational ontology challenges common assumptions about what constitutes reality, seeking to overcome longstanding rigid dichotomies between nature and culture, mind and matter, subject and object, which shape modern worldviews. Diverse knowledge systems are not premised on such divides (Walsh et al., 2021), emphasizing the process nature of life i.e., that the ‘world exists in a perpetual state of ‘becoming’, comprising continually unfolding relations (S. West et al., 2019). If humans are ‘fundamentally in the material world’, rather than prioritizing interior mental cognition (Wagenaar and Cook (2011) cited by West et al., (2019)) by humans, diverse aspects of experience, including embodied experiences and the ‘capacity to affect and be affected’ (Deleuze et al., 1987) can be recognized, including by non-human agents. Further, rather than reflecting the world, language and concepts in relationality, actively shape it, with Indo-European languages evolving within substantialist paradigms which reduce processes to static conditions (Elias (1978) cited by West et al, (2019)). Relational ontologies recognize continuities between actors and actants (Latour, 2005). Such assemblages of the ‘more-than-human’ include human and non-human (physical forces and phenomena such as the wind or fire, material objects and things, living beings, spiritual entities, technologies (Blaser, 2014; Puig de la Bellacasa, 2017) all of which are entangled (Barad, 2007) in complex networks (Latour, 2005). Relational philosophies include many Indigenous and African cosmologies, Shintoism etc., and are flourishing within academic philosophy and in the space-time materialities of quantum physics. While entities seem relatively stable to us (DeLanda, 2006), they are ‘already constituted by movement’ (Ingold (2011) cited by West (2019)) in a departure from both modernist, mechanistic perspectives and socio-ecological systems thinking (S. West et al., 2019). In other words, any being, entity or body is conceived as ‘fundamentally constituted by relations of all kinds’(Walsh et al., 2021). In epistemologies or ‘how we come to know the world’ (Walsh et al., 2021), as in quantum physics, the observer shapes what it observes (Barad, 2007). Following Deleuze et al. (1987) on agency, it is defined not as ‘cognitive-reflective’ abilities alone, but the ’capacity to affect and be affected’, agency is not solely about what humans do (Whatmore, 2002), but is distributed within relational networks, assemblages and configurations (Latour (2005) cited by West et al, (2019)). Transdisciplinary methods support the traversing of disciplinary boundaries, with nature being produced in situated contexts (Haraway, 1988), i.e. knowledge is always shaped by the specific social, cultural and historical contexts, with no objective, universal, neutral perspectives from which knowledge can be produced (S. West et al., 2019).

Relational ethics move beyond anthropocentrism and the valuation of nature based on instrumental values and explore how power inequalities and dynamics are infused within all assemblages of interest, including human-nature interactions (Walsh et al., 2021), towards an ethics of care (Puig de la Bellacasa, 2017).",Inner transformation,Knowledge co-creation
TCA3_038,Table SM.3.38,Regenerative dialogues for sustainable futures,"Modern humans excel in practices of forecasting and foresight. However, this capacity does not necessarily result in transformative action. Projections and scenario building exercises no longer foresee business-as-usual greenhouse gas emission as an option (Stocker et al., 2013), but society breaks emission records every year and climate-related disasters intensify. Science also projected in 2012 that places with high biodiversity, large human populations, poverty and environmental degradation where prone to epidemic or pandemic outbreaks of zoonotic diseases (Morse et al., 2012). Nevertheless, society did not act in anticipation to covid-19 pandemic. In other words, modern society forecasts, foresees, but does not often take anticipatory action. It is almost as if modern society does not feel the problems coming, or as if it senses that – at most – it is going to watch them happen on television or the internet. Until they happen. Since, anticipatory behaviour is about making decisions in the present based on assumptions about the future, it can be argued that the anticipatory system of modern society is impaired. Thus, it needs to regenerate. The argument is that modernity25 fractured the whole into modules. Sustainability, in its broadest sense of planetary well-being, will implies that ongoing dialogues are expanded to include both non-modern worldviews (e.g., Indigenous and local knowledge; postmodern views) and non-scientific forms of interpretation of reality (e.g., arts, philosophy, religions). This comprehensive and inclusive conversation can regenerate the fractures that have ruptured the connections between the “three ecologies” – of self, social and environment – and reintegrate humans to the world, to nature as wholeness (Scarano, 2024).",Inner transformation,"Knowledge co-creation, Systems"
TCA3_039,Table SM.3.39,SHIFT,"SHIFT is a framework that integrates various factors that influence individual behaviour change (White et al., 2019). The focus of the framework is on explaining the attitude-behaviour gap observed when individuals fail to change despite their willingness to do so. SHIFT is an acronym that stands for Social influence, Habit formation, Individual self, Feelings and cognition and Tangibility as factors that contribute to behaviour change. The framework can be seen as an extension of the theory of planned behaviour (Ajzen, 1985), one of the most fundamental theories in behavioural science. The five SHIFT factors exploit the frequently observed lack of connection between people's intentions and behaviour. Social influence includes the influence of social norms and identity. Habit formation describes the factors that initiate long-term behaviour change, not just momentary behaviour change. Individual self describes factors such as self-efficacy and self-consistency, which are relevant for promoting motivation to change and ultimately bring about change. Feelings describe emotional factors that contribute to promoting change. And finally, tangibility refers to the importance of making the goals and outcomes immediate and proximal to the individual.",Inner transformation,Knowledge co-creation
TCA3_040,Table SM.3.40,Transformative learning for social-ecological sustainability,"Transformative learning (Mezirow, 2000) constitutes learning that affects your whole being and your being in the world. Sometimes it is referred to as ‘deep learning’ and learning that impacts one’s inner development as it affects one’s values, convictions, assumptions, frames and ways of viewing oneself (identity) and the world of which one is a part (O’Sullivan, 1999). Often a disruption or discontinuity in one’s thinking is needed to create space for a new way of thinking. Transformative learning can be triggered by being exposed to alternative perspectives, dissonance, discomfort and disorienting dilemma’s. Some scholar connect transformative learning with transgressive learning to emphasize that fundamental change involves going against the grain, questioning the normal and learning from the resulting resistance (Kulundu-Bolus, 2020). Interaction with others through forms of dialogue and debate, as well as self-reflection are critical aspects of transformative learning (Lysaker & Furuness, 2011). Typically, transformative learning implies transformation at the individual level, it does not necessarily imply societal transformation. However, within transition movements involving a wide range of people, groups and networks, transformative learning is often viewed as an essential component of learning for and in transitions as such transitions do require a deep commitment and alignment of underlying shared values and principles (Van Mierlo et al., 2020).",Inner,"Empowerment, Knowledge co- creation"
TCA3_041,Table SM.3.41,Relational values and relationality,"Relational values as a values category has a recent history in the environmental values literature and was popularized with the publication by Chan et al. (2016), also outlined in Jax et al. and Muraca (2013; 2011) or Chan et al. (2018). Based on a recent systematic review, Himes et al. (2024) propose the following meaning of relational values: “values of meaningful and often reciprocal human relationships—beyond

means to an end—with nature and among people through nature, where nature is often specified as a particular landscape, place, species, forest, etc.” Relationality can be seen as an umbrella term for ways of understanding and studying human-nature relations in a non-dichotomous way (S. West et al., 2020). This includes both by drawing on Indigenous knowledge systems (Ingold, 2006) and ideas from ideas within philosophy such as process philosophy (Whitehead, 1978). It is important to emphasize that even though the two are strongly associated, relational values and relationality are different concepts. Relationality is broader and can be associated with different knowledge systems or worldviews rather than understood as a values category (S. West et al., 2020). The ways in which relational values are assessed methodologically does not automatically align with relationality seen as a worldview, knowledge system or epistemological approach (Stålhammar & Thorén, 2019). The concept of relational values can be operationalized and seen on a spectrum of different interpretations of relationality, where some interpretations calls for a re-evaluation of how to think about human-nature relations and a call to go beyond Cartesian dualisms and subject-object dualisms (Muraca, 2011).",Inner transformation,Knowledge co-creation
TCA3_042,Table SM.3.42,Political ecology,"Political ecology combines the concerns of ecology and a broadly defined political economy (Blaikie et al., 1988). Political ecology approaches social-ecological change through the lens of metabolic production whereby societies constantly metabolize nature, producing new socionatures

(Swyngedouw, 2004)27. Society and nature are not considered antithetical entities but are intertwined in a relational perspective. A central analytical focus of political ecological research is how uneven power relationships manifest in uneven distributions of the costs and benefits of social-ecological change across social groups, class, race, gender, or region (Martinez-Alier, 2003). These uneven power relationships, together with a growing metabolism under capitalism, are considered to create ecological distribution conflicts (Scheidel et al., 2018). Such conflicts arise when environmental damage affects communities, who mobilize to either prevent it or to recoup the losses stemming from it. Ecological distribution conflicts are studied as symptoms of an unsustainable development model and as proof of the existence of conflicting visions around what constitutes a good life (Scheidel et al., 2018).This relates to another crucial theoretical and analytical standpoint of political ecology, namely that in any society there is an irreducible antagonism for alternative futures and forms of power distribution (Mouffe, 2005). This insight is encapsulated in the adjective political, which stands in contrast to apolitical ecologies that attribute environmental problems to a range of causes - biophysical or social -beyond the realm of collective choice. Political ecology thus aspires to politicize public debates and choices about desired socionatures and the necessary transformative changes to produce them.",Empowerment,Structural
TCA3_043,Table SM.3.43,Transformative spaces,"Transformative spaces are social processes that aim to bring about transformative changes towards sustainability. These spaces are created through transdisciplinary and action-oriented approaches that entail co-production focusing on participants' interactions to promote desired changes. As these deliberate endeavours aim to create conditions for change towards more sustainable pathways (in terms of legitimate, just, inclusive and democratic), it is essential to understand how such interventions may enable transformative change (Chambers et al., 2022). Transformative spaces are safe-enough collaborative settings where change agents working in transformation can experiment with new notions, framings and practices that might help in shifting social-ecological systems onto alternative pathways (Pereira, Drimie, et al., 2020). These processes actively seek to bring into dialogue different actors, with their own experiences, expertise and affections regarding a social-ecological problem or challenge (Drimie et al., 2018). Transformative spaces also enable reflection and reflexive learning, while reframing issues in ways that allow solutions to be co-created and co-implemented (Pereira, Drimie, et al., 2020). For this to be achieved, several transformative spaces seek a configuration of actors that is not diverse in terms of sectors, but diverse in terms of the participants’ experiences. Such diversity might enable, together with a safe-enough atmosphere that is attentive to power asymmetries, to challenge the status quo if collectively perceived as unjust or not sustainable. Transformative spaces take different formats and are informed by distinct rationales because they are context-dependent (Asenbaum & Hanusch, 2021). Some of these have been inspired by the notion of ‘laboratory’, as a space for collaborative experimentation aimed at tackling complex social and environmental challenges (e.g., transition labs, change labs, social innovation labs). In particular, the transformation laboratories (T-Lab) approach has as its main goal to co-create a space where participants can test multiple solutions or strategies for change, which together could address a social-ecological challenge.","Empowerment, Knowledge co-creation","Structural, Inner transformation"
TCA3_044,Table SM.3.44,Three spheres of transformation,"Transformations to an equitable and sustainable world occurs through simultaneous and interrelated changes in form, structure and meaning-making. These three interconnected dimensions constitute the three spheres of transformation, referred to as the practical, political and personal spheres (O’Brien, 2018).

The practical sphere focuses on actions and interventions that contribute directly to measurable outcomes and tends to emphasize technical and behavioural approaches to change that are aligned with objectives and goals, such as the 23 targets of the Kunming-Montreal Global Biodiversity Framework.

The political sphere refers to the structures and systems that influence or govern how society is organized. This includes the social and cultural norms, rules, regulations and institutions that reflect the values that are prioritized and the goals that are pursued. They also influence how solutions are negotiated, decided and implemented and by whom, recognizing conflicting interests, power differences and the impact of social movements.

The personal sphere refers to individual and shared beliefs, values, worldviews and paradigms that influence how people perceive, define, or constitute systems and structures and how they relate to each other and to nature. The description of the three spheres as separate distinguishes the different dimensions, but in reality they are always integrated.

Transformative potential is seldom realized when attention to any single sphere is ignored. For example, a focus on the practical sphere alone often overlooks the social, cultural and political dimensions of change in the political sphere, such as power dynamics within economic, political and socio-ecological systems and the diversity of beliefs, values and worldviews in the personal sphere that influence these dynamics (O’Brien & Sygna, 2013).

By addressing the three spheres simultaneously, actors can identify the practical outcomes that are desired, the political barriers to transformation and opportunities to collaborate and strategically design and develop strategies to overcome them by connecting with the personal sphere. The three spheres of transformation focus on developing processes and patterns that shift systems and cultures across scales, recognizing the power and potential of individuals and groups to contribute to change across multiple spheres of influence.",Empowerment,"Structural, Systems, Inner"
TCA3_045,Table SM.3.45,Praxis,"The concept of praxis has a rich theoretical tradition in theories of social change. It challenges the duality between theory and practice or knowing and doing (Kilminster, 1977) and underlines that change occurs through ongoing dialectics between knowledge and practice. In the Marxist and Hegelian traditions, praxis included three main components: 1) actors’ critical consciousness; 2) actors’ mobilization; and 3) actors’ collective and multilateral action to reconstruct those social arrangements and themselves (Bernstein, 1971). Praxis challenges the idea that all change is predetermined by structural forces and emphasises that change is mutually constituted by the interplay of structure and agency as also elucidated in structuration theory, which unpacks how social order is produced, reproduced or subverted (Giddens, 1984). Freire (2000), however, takes an emancipatory understanding of praxis and links it to self-conscious social actions. Thus, praxis is an embedded, reflexive and engaged process of change aimed towards the transformation of the self and the wider social and institutional arrangements, in an attempt to reconfigure the dominant development trajectory (Mehta et al., 2021; O’Brien & Sygna, 2013; Seo & Creed, 2002). The individual is a partially autonomous actor imbued with an agency to change (through contestations, alliance building, etc.) but also constrained by structural forces that prevent action/maintain the status quo. Human praxis presupposes a change in social arrangement or their reconstruction through the agency of individuals. It mediates between social contradictions (produced as an outcome of development processes) which can potentially play a fundamental role in driving change (Seo & Creed, 2002). Key to transformative praxis is a better understanding of how the agency can be strengthened to bring about structural alterations and consequently inform wider societal changes. In this respect, it can be explored as the capability to change (Sen, 2001) linked to values of justice and equity.",Empowerment,"Knowledge co-creation, Inner, Structural"
TCA3_046,Table SM.3.46,Environmental history: Environmentalism of the poors and environmental coloniality,"Environmental history has the potential to transform the understanding of the human past. By focusing on the impact of human activity on the biosphere, the environmental perspective not only opens new topics of investigation but also changes the understanding of the emergence of the modern world (E. Burke & Pomeranz, 2009). The environmentalism of the poors arises from social conflicts over environmental rights or titles because of the risks of pollution and the loss of access to natural resources and environmental services (Martinez-Alier, 2003). Environmental coloniality28 helps explain injustice through history (Carney, 2011; Ferdinand, 2019; Grove, 1996). Environmental history allows to understand past environmental cultures and old, new and hybrid environmental knowledges. The transmission, memory and environmental oblivion of each culture can, thanks to history, be recovered as a powerful socio-cultural driver.",Empowerment,Structural
TCA3_047,Table SM.3.47,Fractal agency,"Fractal agency, a concept proposed by O'Brien et al.(2023), is an integrative and empowering approach to scaling transformations to sustainability that emphasizes the inter- and intra-connectedness of individual and collective actions within complex systems. A fractal approach focuses on generating patterns based on values that apply to all, such as equity and dignity. It acknowledges that addressing complex challenges like biodiversity loss and nature’s decline and climate change implies aligning and leveraging agency across multiple levels and scales, from the micro to the macro. Fractal agency can be understood as both a quality and a capacity that allows individuals, regardless of their position, educational background, role, experience, or formal authority, to generate new patterns (Sharma, 2017). A fractal approach can be tailored to specific contexts, while still being strategically aligned to transform relationships and systems that are inequitable or unsustainable. Fractal agency proposes that thoughts, decisions and actions based on oneness can generate entangled patterns that replicate across scales (O’Brien, 2021). By recognizing that values expressed through actions at all levels can have ripple effects throughout a system, fractal agency encourages the empowerment of diverse stakeholders to contribute to sustainability solutions while also ensuring accountability and responsibility.",Empowerment,Inner transformation
TCA3_048,Table SM.3.48,Everyday resistance,"The term resistance is used to describe oppositional acts that can be organized and loud, such as protest or demonstrations, as well as more quiet forms, such as foot-dragging, feigned ignorance, or sabotage (Baaz & Lilja, 2017; Johansson & Vinthagen, 2016). While political scientists interested in social change have shown the links between organized resistance and social transformations, less attention has been given to the more ordinary and quiet forms of resistance used by groups in vulnerable situations that lack the time and possibilities to engage in social movements or revolutions (J. C. Scott, 1987). Thus, the term everyday resistance has been used to describe oppositional acts that “require little or no coordination or planning; they make use of implicit understandings and informal networks; they often represent a form of individual self-help; they typically avoid any direct, symbolic confrontation with authority” (J. C. Scott, 1987). In Scott’s view, everyday forms of resistance are the ordinary means for marginalized groups to have a political voice (J. C. Scott, 1987). A resistance lens can help us to uncover bottom-up social needs and aspirations that can determine the possibilities for fair transformations (Falla et al., 2024). According to Bayat, resistance has a transformative power when groups in vulnerable situations use it to make advances on the powerful to survive and improve their lives, what he calls “quiet encroachment of the ordinary” (Bayat, 2000). However, Falla in line with

Scott argues that acts of resistance, even when they do not result in large social transformations, have an important value to assert the agency and freedom of marginalized groups (Falla et al., 2024; Vargas & Urinboyev, 2015).",Empowerment,Structural
