Title of the Example or Article,Abstract or Summary,Link,Type of Example (Perspective/Case Study/Case studies/Review/Empirical). Case study = examples that represent one case study ; case studies = articles that contain multiple case studies ; perspective = articles that offer perspectives without cases ; Review = articles that review other literature ; empirical = articles using empirical data/experiments but do not represent case studies
Performing Sustainability: The Power of Theatre in Environmental Communication,"This article interrogates the intersections of performance theory and sustainability communication by foregrounding theatre as a critical modality for re-imagining ecological futures. While dominant environmental discourses frequently privilege technocratic or informational paradigms, this study argues that theatre mobilises affect, embodiment, and collective spectatorship to destabilise anthropocentric narratives and cultivate ecological consciousness. Grounded in performance theory, ecocriticism, and sustainability studies, the paper conceptualises theatre as both an epistemic practice and an experience that disrupts linear models of knowledge transfer. Instead, it provides dialogic spaces where audiences encounter environmental crises as lived, affective, and relational phenomena. Drawing on theoretical frameworks such as performativity, liminality, and eco-aesthetics, the paper situates theatre as a transformative communicative practice that reconfigures human–nature relations and expands the discursive repertoire of environmental sustainability. Rather than functioning as a supplementary cultural form, theatre emerges here as a generative site of environmental meaning-making, capable of reshaping imaginaries, contesting hegemonic narratives of development, and advancing sustainability transitions. The argument contributes to ongoing debates in performance, environmental sciences, development, and sustainability by demonstrating how theatrical praxis extends beyond representation to enact ecological agency and social transformation",https://doi.org/10.37284/ajccrs.4.2.4107,perspective
Audience Participation and Community Transformation: Contemporary Student-Led Theatre for Development Practice in Ghana,"Theatre for Development (TfD) has emerged as a powerful participatory methodology for catalyzing community transformation in Ghana, yet critical questions persist regarding how audience participation actually translates into sustained behavioral change and structural transformation. This article examines the role of audience participation in Ghanaian TfD projects through analysis of theoretical frameworks, established case studies, and recent student-led initiatives in local communities (2024–2025). Five key mechanisms of audience participation are identified: extended community entry, collaborative performance creation, interactive theatrical techniques, structured post-performance dialogue, and sustained engagement. Drawing on recent empirical evidence from four university-supervised TfD projects, all conducted by students from the Department of Theatre Arts at the University of Education Winneba, and reaching over 12,000 community members across diverse development issues; environmental sustainability, educational equity, public health, and economic empowerment, the study demonstrates that participatory theatre, when thoughtfully designed and implemented with authentic community partnerships and linkages to concrete resources, can contribute meaningfully to individual empowerment, community mobilization, and sustainable development outcomes. However, persistent challenges including power dynamics, resource constraints, facilitation capacity gaps, and sustainability limitations require deliberate strategies including inclusive facilitation, community control throughout project cycles, institutional alignment, and long-term commitment from practitioners, policymakers, and development institutions. The evidence suggests that TfD’s transformative potential can be realized by embracing participation as a technique of redistributing power to marginalized voices in development processes.",https://doi.org/10.5296/jsss.v13i1.23418,case studies
A Case Study in Participatory Environmental Art,"This study examines Olafur Eliasson's ""Ice Watch"" series (2014-2018) as a participatory environmental art initiative to raise awareness of climate change. Eliasson demonstrates the effects of global warming by deliberately placing substantial pieces of glacial ice in urban centers such as Copenhagen, Paris, and London. The project integrates geological and human temporal dimensions by promoting public engagement and fostering a sense of intimacy and connection with the melting ice. The installation's ephemeral quality underscores the urgency of addressing climate change and prompts reflection and proactive measures. ""Ice Watch"" is widely acknowledged as an effective instrument for environmental communication, although it faces criticism regarding its ability to universally represent climate impacts. It elicits emotional and mental responses that motivate individuals to alter their behaviour and increase their engagement in community activities. This study emphasizes the significance of participatory art in addressing global environmental challenges and fostering sustainability.",https://doi.org/10.54097/df74w925,case study
Invoking ‘Empathy for the Planet’ through Participatory Ecological Storytelling: From Human-Centered to Planet-Centered Design,"In sustainable design and innovation, appreciation of the Planet as an equal stakeholder with humans and businesses continues to rise. Yet a consistent challenge arises in that people have difficulties relating to the nonhuman and interpret the world in terms of human values and experiences. We need more practical tools to stimulate a connection, especially in its affective dimension, to the Planet and to include nonhuman stakeholders in sustainability developments. To anchor Planetary understanding and considerations, we investigate the role of participatory storytelling to stimulate a reappraisal of the needs of nonhuman stakeholders through empathy building. To posit this, we defined empathy for the Planet as a holistic relationship with human and nonhuman stakeholders. We facilitated workshops where design students, design professionals, and business stakeholders could co-create environmental stories using human and nonhuman character personas. We analyzed the personas, stories, and participants’ feedback on the process experience and impact and observed that story creators experienced empathy for the Planet through projecting and blending their own emotions and intents onto the characters. We discuss, therefore, how ecological story co-creation can be a tool for self-reflection, collective sense-making, and the inclusion of the voice of Planetary stakeholders relevant for sustainable design and to drive sustainability engagement in general. This research confirms the role of stories and imagination in creating a bridge to the natural world through new, human and nonhuman, perspectives.",https://doi.org/10.3390/su15107794,empirical
Commissioning community-based art projects to support engagement with nature-based solutions,"Understanding social-ecological connection is paramount to adoption and long-term viability of nature-based solutions (NbS). Here, we describe a three-year trial of community-engaged participatory research (CBPR) through an artist commission program run by Engage with Nature-based Solutions (http://www.engagewithnbs.ca). The program has thus far commissioned twelve Canadian artists to contribute their artistic research to facilitate conversations about climate change and conceptualizations of NbS. The artists we commissioned created a piece of art for their local community on NbS and climate, facilitated a community-engaged workshop to share their research creation, and supported the development of an online toolkit meant to help other communities engage with NbS and climate change. We suggest that this commission program is a cost-effective way to: (i) reach a diversity of communities typically outside the reach of academia, (ii) enlarge audiences who are engaged with NbS, (iii) provide alternative formats and mediums for engagement and education on NbS, (iv) give credence to artistic work as climate work, and (v) provide opportunities for collaboration between the arts/sciences and community/academia.",https://doi.org/10.3389/frsus.2025.1592706,case study
"Meaningful transdisciplinary collaborations for sustainability: local, artistic, and scientific knowledge","Meaningful transdisciplinary collaborations that weave diverse ways of knowing, doing, and feeling are increasingly recognized as central for enabling just and sustainable transformations. This Special Feature explores the unique contributions of art-science transdisciplinary collaborations in addressing complex social-ecological challenges. Drawing from a series of transdisciplinary projects, we examine how co-created processes between scientists, artists, and local knowledge holders foster new relational dynamics, challenge entrenched power structures, and expand the space for transformative action. The collaborations documented here highlight innovative approaches that emphasize local identities, shared values, emotional and aesthetic engagement, and long-term, caring relationships. We identify key mechanisms, such as participatory visioning, storytelling, material deliberation, and arts-based boundary objects, that facilitate individual and collective agency and deepen connection with place and community. Despite significant challenges, such as time constraints, power imbalances, and institutional inertia, these experiences illustrate the transformative potential of art-science collaborations when designed ethically, reflexively, and with epistemological pluralism. This editorial offers critical insights into the practices, conditions, and innovations that support meaningful art-science engagement, providing guidance for evaluating their impacts. As planetary crises intensify, such collaborations offer hopeful, grounded, and imaginative pathways toward more just and sustainable futures.",https://doi.org/10.5751/ES-16491-300407,case studies
Cocina Colaboratorio: cooking transdisciplinary transformations of local food systems,"Transdisciplinary knowledge co-production has been deemed critical to support the transformative changes needed to navigate toward more just and sustainable futures. Novel collaborations between local stakeholders, artists, designers, and scientists have the potential to further advance such transformations. In this paper, we describe the work of the transdisciplinary project Cocina Colaboratorio. We describe how the project was born and established in three territories of Mexico. We explore how participatory artistic and design practices, centered around the kitchen, play out in creating and operationalizing arenas for exchange and experimentation. We depict the components of our theory of change, including the role of these arenas, individual and collective agency, and leverage points in the transformation of local food systems. We illustrate the challenges encountered and the opportunities to overcome them, namely finding common ground through diverse communication strategies, a collaboration protocol, monitoring, and iterative learning. We assess our outputs and products, the role of funding as an enabler and obstacle, and our strengths and weaknesses. Participatory artistic and design practices have a huge potential to nurture deeper and more meaningful transdisciplinary transformative research around the globe, and we aspire to make deep transformations in each of the three territories while contributing to global sustainability.",https://doi.org/10.5751/ES-15829-300117,case study
‘Raising the temperature’: the arts on a warming planet,"The search for decisive actions to remain below 1.5 °C of global temperature rise will require profound cultural transformations. Yet our knowledge of how to promote and bring about such deep transformative changes in the minds and behaviours of individuals and societies is still limited. As climate change unravels and the planet becomes increasingly connected, societies will need to articulate a shared purpose that is both engaging and respectful of cultural diversity. Thus, there is a growing need to ‘raise the temperature’ of integration between multiple ways of knowing climate change. We have reviewed a range of literatures and synthesized them in order to draw out the perceived role of the arts in fostering climate transformations. Our analysis of climate-related art projects and initiatives shows increased engagement in recent years, particularly with the narrative, visual and performing arts. The arts are moving beyond raising awareness and entering the terrain of interdisciplinarity and knowledge co-creation. We conclude that climate-arts can contribute positively in fostering the imagination and emotional predisposition for the development and implementation of the transformations necessary to address the 1.5 °C challenge.
",10.1016/j.cosust.2017.12.010,review
Envisioning desirable futures in small-scale fisheries: a transdisciplinary arts-based co-creation process,"Despite the critical importance of small-scale fisheries for food security and well-being and the role of fishers as stewards of aquatic ecosystems, their future is uncertain. Tackling narratives that portray small-scale fisheries as obsolete, disparate, and inefficient requires collectively imagining and articulating new, creative, and inspiring narratives that reflect their real contributions and enable transformative futures. Drawing on a transdisciplinary country-level case study, we analyze the process and outcomes of co-creating desirable, plural, and meaningful visions of the future for small-scale fisheries in Uruguay. Using an arts-based approach and leveraging the agency of emerging innovative initiatives throughout the country, different food system actors (fish workers, chefs, entrepreneurs) and knowledge systems (local, experience-based, and scientific) were engaged in a creative visioning process. The results of this arts-based co-creation process include (1) a series of desirable visions and narratives, synthesized into an artistic boundary object; and (2) the stepping stones to a transformative space for collective reflection, learning, and action. Although the artistic boundary object has proven instrumental among multiple and diverse participants, the transformative space encouraged academic and non-academic participants to plan collective actions and to feel more confident, motivated, and optimistic about the future of small-scale fisheries in Uruguay. With this paper we provide a tool, a platform, and a roadmap to counter the dominant bleak narrative, while also communicating the elements that constitute desirable futures for small-scale fisheries in Uruguay. On a broader scale, our contribution reinforces the emerging narrative of the key role that small-scale fisheries have, and will play, in local and global food systems.",https://doi.org/10.5751/ES-14869-290120,case study
"Living community cookbook: transdisciplinary collaboration for constructing recipes with biocultural value

","This research aims to delve into food knowledge and practices concerning the ecological management of food resources, spanning procurement, transformation, and consumption processes, through the lens of creating a cookbook as a tool for decolonizing food knowledge and practices. The impetus for crafting a cookbook alongside an indigenous community in northwestern Mexico stems from the dynamic process of exchanging ecological and food knowledge, where the following questions are posed: What foundational knowledge and essential ingredients underlie the community's food system? And how might the cookbook serve as a catalyst for knowledge exchange and transdisciplinary collaboration? Adopting a qualitative approach, the research employs participatory methodology, involving workshops with women from the Kumiai community of San José de la Zorra, Baja California, Mexico. These workshops aim to spotlight the diversity of foods sourced from the collection of wild species/seasonal crops and to glean insights into the perspectives on food culture from the region. As a result, the study unveils ingredients cultivated and gathered across different seasons, offering a glimpse into the community’s rich food knowledge. A design proposal is articulated to craft recipes that not only respect the essence of the community’s way of life but also resonate with the profound connection people have to the territory. Moreover, the research delves into the significance of decolonizing cookbooks by amplifying indigenous food knowledge and reclaiming narratives from a biocultural perspective. The cookbook emerges as a tool for igniting dialogue about food in relation with the social-ecological context of indigenous and rural communities in northwestern Mexico. Furthermore, it proposes that this model can be adapted to other contexts, needs, and preferences, thereby effectively linking food and territory while challenging dominant culinary narratives.","
https://doi.org/10.5751/ES-15387-290412",case study
Reimagining Ocean Stewardship: Arts-Based Methods to ‘Hear’ and ‘See’ Indigenous and Local Knowledge in Ocean Management,"Current ocean management approaches are often characterised by economic or environmental objectives, paying limited consideration to social and cultural dimensions, as well as Indigenous and local knowledge. These approaches tend to inhibit ocean stewardship, often marginalising coastal communities or limiting people’s access to spiritual, traditional and recreational uses of the ocean and coast. Piloting arts-based participatory research methods to co-create knowledge with co-researchers in Algoa Bay, South Africa finds that these methods can be useful in highlighting cultural connections to the ocean, and remembering and imagining, or reimagining, ways in which people relate to and care for the ocean and coast. For example, using photography and in situ storytelling often allows people to convey memories and histories of more accessible coastlines, or envisaging a future with more inclusive and participatory ocean management. The study finds that there is a strong sense of exclusion from and lack of access to coastal and ocean areas in Algoa Bay where Indigenous and local communities have depended on for spiritual, cultural and recreational purposes for several generations. Co-creation of knowledge regarding connections, values and priorities of the coast and ocean with Indigenous and local communities should therefore be planned for before the implementation of integrated ocean management approaches and intentionally designed as part of adaptive management processes. Emphasising these cultural connections, and better recognising them in ocean management has the potential to include i people’s awareness of the ocean which could translate into an increased sense of care and stewardship towards the ocean and coast as people feel more connected to their contextual seascapes. This could in turn contribute to a more sustainable sociocultural approach to ocean management which is necessary for equitable and sustainable future ocean social-ecological wellbeing.",https://doi.org/10.3389/fmars.2022.886632,case study
9 Dimensions for evaluating how art and creative practice stimulate societal transformations,"There is an urgent need to engage with deep leverage points in sustainability transformations—fundamental myths, paradigms, and systems of meaning making—to open new collective horizons for action. Art and creative practice are uniquely suited to help facilitate change in these deeper transformational leverage points. However, understandings of how creative practices contribute to sustainability transformations are lacking in practice and fragmented across theory and research. This lack of understanding shapes how creative practices are evaluated and therefore funded and supported, limiting their potential for transformative impact. This paper presents the 9 Dimensions tool, created to support reflective and evaluative dialogues about links between creative practice and sustainability transformations. It was developed in a transdisciplinary process between the potential users of this tool: researchers, creative practitioners, policy makers, and funders. It also brings disciplinary perspectives on societal change from evaluation theory, sociology, anthropology, psychology, and more in connection with each other and with sustainability transformations, opening new possibilities for research. The framework consists of three categories of change, and nine dimensions: changing meanings (embodying, learning, and imagining); changing connections (caring, organizing, and inspiring); and changing power (co-creating, empowering, and subverting). We describe how the 9 Dimensions tool was developed, and describe each dimension and the structure of the tool. We report on an application of the 9 Dimensions tool to 20 creative practice projects across the European project Creative Practices for Transformational Futures (CreaTures). We discuss user reflections on the potential and challenges of the tool, and discuss insights gained from the analysis of the 20 projects. Finally, we discuss how the 9 Dimensions can effectively act as a transdisciplinary research agenda bringing creative practice further in contact with transformation research.",https://doi.org/10.5751/ES-14739-290129,case study
Co-creating a festival with and for rural commoning initiatives: a transdisciplinary place-based process,"Transdisciplinary collaboration is well-established in sustainability science scholarship. Stakeholders from the cultural and artistic sector can significantly enrich the co-creation process by providing diverse perspectives on caring for people and places in marginalized areas. A key challenge is engaging these stakeholders early in the co-design phase to foster a sense of co-ownership and shared responsibility. To date, artists and cultural experts are mostly involved as service-providers, with little opportunity to embed their visions and values in the project at stake. Drawing on a legacy of transdisciplinary and participatory action research, we present an early collaboration involving architects, designers, cultural and sports association members, educators, farmers, workshop facilitators, and artists. This collaboration focused on co-creating a rural festival to showcase and connect commoning initiatives, and to foster a sense of care for community and environment, in a moment of vulnerability and isolation due to the COVID-19 pandemic. Our case study illustrates how festivals can catalyze enthusiasm and energy, engaging the wider public in lived experiences of collective care for social-ecological systems, and providing a platform for marginalized voices, challenging dominant narratives about rural livelihoods and well-being. The research highlights the potential for creating actionable knowledge that is reflective of local contexts and needs. Results also demonstrate how arts- and place-based methods can provide boundary objects that blur disciplinary differences and facilitate dialogue on complex and sensitive sustainability-related issues. We discuss how these methods can be further incorporated into transdisciplinary research and reflect on the practical and ethical challenges posed by early co-design and festive events.",https://doi.org/10.5751/ES-16095-300308,case study 
Climate change and the imagination,"This review article surveys the complex terrain of the imagination as a way of understanding and exploring the manifestations of anthropogenic climate change in culture and society. Imagination here is understood as a way of seeing, sensing, thinking, and dreaming that creates the conditions for material interventions in, and political sensibilities of the world. It draws upon literary, filmic, and creative arts practices to argue that imaginative practices from the arts and humanities play a critical role in thinking through our representations of environmental change and offer strategies for developing diverse forms of environmental understanding from scenario building to metaphorical, ethical, and material investigations. The interplay between scientific practices and imaginative forms is also addressed. Thematically, this review addresses the modalities of climate futures, adaptive strategies, and practices of climate science in its study of key imaginative framings of climate change.",https://doi.org/10.1002/wcc.117,review
